id,cid,courseno,title,md,mt,cd,ct
199,020743,MEL G621,VLSI DESIGN,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
200,022063,MEL G622,INTRO TO ARTIF NEURAL NET,2019-10-03,4:00 PM - 5:30 PM,2019-12-10,02:00 PM - 05:00 PM
201,020500,MEL G623,ADVANCED VLSI DESIGN,2019-09-28,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
202,022064,MEL G624,ADV VLSI ARCHITECTURES,2019-09-28,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
203,020932,MEL G625,ADVANCED ANALOG AND MIXED SIGNAL DESIGN,2019-10-04,9:00 AM - 10:30 AM,2019-12-05,02:00 PM - 05:00 PM
204,020606,MEL G626,VLSI TEST & TESTABILITY,2019-10-01,4:00 PM - 5:30 PM,2019-12-07,02:00 PM - 05:00 PM
205,020744,MEL G631,PHY & MO OF MICROEL DEV,2019-10-01,11:00 AM - 12:30 PM,2019-12-11,09:00 AM - 12:00 PM
206,021418,MF F421,SUPPLY CHAIN MANAGEMENT,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,02:00 PM - 05:00 PM
207,020766,MST G511,NONDESTRUCTIVE TESTING TECHNIQUES,2019-09-30,11:00 AM - 12:30 PM,2019-12-13,09:00 AM - 12:00 PM
208,021014,PHY F110,PHYSICS LABORATORY,,,,
209,021015,PHY F111,MECH OSCILLATIONS & WAVE,2019-10-05,4:00 PM - 5:30 PM,2019-12-09,09:00 AM - 12:00 PM
210,021126,PHY F211,CLASSICAL MECHANICS,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
211,021127,PHY F212,ELECTROMAGNETIC THEO I,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
212,021128,PHY F213,OPTICS,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
213,021129,PHY F214,ELEC MAGNET & OPTICS LAB,,,,
214,021493,PHY F215,INTRO TO ASTRO & ASTROPH,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
215,021486,PHY F311,QUANTUM MECHANICS II,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,09:00 AM - 12:00 PM
216,021487,PHY F312,STATISTICAL MECHANICS,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
217,021488,PHY F313,COMPUTATIONAL PHYSICS,2019-10-03,9:00 AM - 10:30 AM,2019-12-06,09:00 AM - 12:00 PM
218,021494,PHY F315,THEORY OF RELATIVITY,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,02:00 PM - 05:00 PM
219,021498,PHY F415,GEN THEO OF REL & COSMO,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
220,021509,PHY F426,PHYSICS OF SEMICOND DEV,2019-10-04,2:00 PM - 3:30 PM,2019-12-13,09:00 AM - 12:00 PM
221,022327,PHY F428,QUANTUM INFORMATION THEORY,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,09:00 AM - 12:00 PM
222,022297,SAN G511,SANITATION TECHNOLOGY,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
223,022298,SAN G512,SANITATION AND PUBLIC HEALTH,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
224,022299,SAN G513,"SANITATION GOVERNANCE, BEHAVIOUR",2019-10-01,11:00 AM - 12:30 PM,2019-12-04,02:00 PM - 05:00 PM
225,020333,SS G653,SOFTWARE ARCHITECHTURES,2019-09-28,4:00 PM - 5:30 PM,2019-12-05,09:00 AM - 12:00 PM
