id,cid,courseno,title,md,mt,cd,ct
47,021201,CHE F414,TRANSPORT PHENOMENA,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
48,021210,CHE F415,MOLECULAR AND STATISTICAL THERMODYNAMICS,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
49,021205,CHE F421,BIO-CHEMICAL ENGINEERING,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
50,022178,CHE F422,PETROLEUM REFINING TECHNOLOGY,2019-10-04,2:00 PM - 3:30 PM,2019-12-13,09:00 AM - 12:00 PM
51,021202,CHE F433,CORROSION ENGINEERING,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,02:00 PM - 05:00 PM
52,022002,CHE G523,MATH METHODS IN CHEM ENG,2019-09-28,11:00 AM - 12:30 PM,2019-12-07,09:00 AM - 12:00 PM
53,022084,CHE G528,INTRO TO NANO SCI & TECH,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,02:00 PM - 05:00 PM
54,020618,CHE G613,ADVANCED MASS TRANSFER,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
55,022032,CHE G622,ADV CHEMICAL ENGG THERMO,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
56,021006,CHEM F110,CHEMISTRY LABORATORY,,,2019-12-01,09:00 AM - 12:00 PM
57,021007,CHEM F111,GENERAL CHEMISTRY,2019-09-30,2:00 PM - 3:30 PM,2019-12-03,09:00 AM - 12:00 PM
58,021116,CHEM F211,PHYSICAL CHEMISTRY I,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,02:00 PM - 05:00 PM
59,021117,CHEM F212,ORGANIC CHEMISTRY I,2019-10-01,9:00 AM - 10:30 AM,2019-12-04,09:00 AM - 12:00 PM
60,021118,CHEM F213,PHYSICAL CHEMISTRY II,2019-09-30,9:00 AM - 10:30 AM,2019-12-02,09:00 AM - 12:00 PM
61,021119,CHEM F214,INORGANIC CHEMISTRY I,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
62,021559,CHEM F311,ORGANIC CHEMISTRY III,2019-10-03,11:00 AM - 12:30 PM,2019-12-05,09:00 AM - 12:00 PM
63,021560,CHEM F312,PHYSICAL CHEMISTRY IV,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,09:00 AM - 12:00 PM
64,021558,CHEM F313,INSTRU METHODS OF ANAL,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
65,021583,CHEM F333,CHEMISTRY OF MATERIALS,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
66,021585,CHEM F335,ORGANIC CHEMISTRY AND DRUG DESIGN,2019-09-29,11:00 AM - 12:30 PM,2019-12-13,02:00 PM - 05:00 PM
67,021587,CHEM F337,GREEN CHEM & CATALYSIS,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
68,021092,CS F213,OBJECT ORIENTED PROG,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,09:00 AM - 12:00 PM
69,021090,CS F214,LOGIC IN COMPUTER SC,2019-09-28,9:00 AM - 10:30 AM,2019-12-07,02:00 PM - 05:00 PM
70,021093,CS F215,DIGITAL DESIGN,2019-09-30,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
71,021091,CS F222,DISCR STRUC FOR COMP SCI,2019-10-01,11:00 AM - 12:30 PM,2019-12-04,09:00 AM - 12:00 PM
72,021316,CS F301,PRINCIPLES OF PROGG LANG,2019-09-30,9:00 AM - 10:30 AM,2019-12-02,09:00 AM - 12:00 PM
73,021317,CS F342,COMPUTER ARCHITECTURE,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,02:00 PM - 05:00 PM
74,021314,CS F351,THEORY OF COMPUTATION,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
75,021315,CS F372,OPERATING SYSTEMS,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,09:00 AM - 12:00 PM
76,021333,CS F407,ARTIFICIAL INTELLIGENCE,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
77,021857,CS F469,INFORMATION RETRIEVAL,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
78,022106,CS G520,ADV DATA MINING,2019-09-30,9:00 AM - 10:30 AM,2019-12-02,09:00 AM - 12:00 PM
79,022004,CS G525,ADV COMPUTER NETWORKS,2019-10-05,2:00 PM - 3:30 PM,2019-12-12,02:00 PM - 05:00 PM
80,022005,CS G526,ADV ALGO & COMPLEXITY,2019-10-01,11:00 AM - 12:30 PM,2019-12-06,02:00 PM - 05:00 PM
81,022108,CS G527,CLOUD COMPUTING,2019-09-29,11:00 AM - 12:30 PM,2019-12-11,09:00 AM - 12:00 PM
82,020918,CS G553,RECONFIG COMPUTING,2019-10-03,11:00 AM - 12:30 PM,2019-12-09,02:00 PM - 05:00 PM
83,020782,CS G623,ADVANCED OPERAT SYSTEMS,2019-10-03,9:00 AM - 10:30 AM,2019-12-09,02:00 PM - 05:00 PM
84,020362,DE G531,PRODUCT DESIGN,2019-10-04,3:30 PM -5:00 PM,2019-12-12,02:00 PM - 05:00 PM
85,020678,DE G611,DYNAMICS & VIBRATION,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
86,020625,DE G631,MATERIALS TECH & TESTING,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,09:00 AM - 12:00 PM
87,021380,ECE F211,ELECTRICAL MACHINES,2019-10-04,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
88,021381,ECE F212,ELECTROMAGNETIC THEO,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
89,021383,ECE F214,ELECTRONIC DEVICES,2019-10-01,9:00 AM - 10:30 AM,2019-12-04,09:00 AM - 12:00 PM
90,021382,ECE F215,DIGITAL DESIGN,2019-09-30,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
91,021389,ECE F311,COMMUNICATION SYSTEMS,2019-09-28,9:00 AM - 10:30 AM,2019-12-07,02:00 PM - 05:00 PM
92,021388,ECE F314,ELECTROMAGNETIC FIEDL & MICROWAVE ENGG,2019-09-30,9:00 AM - 10:30 AM,2019-12-02,09:00 AM - 12:00 PM
93,021397,ECE F418,MODERN COMMUNICATION TECHNOLOGIES,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
94,021392,ECE F434,DIGITAL SIGNAL PROCESS,2019-10-05,2:00 PM - 3:30 PM,2019-12-14,09:00 AM - 12:00 PM
95,021023,ECON F211,PRINCIPLES OF ECONOMICS,2019-10-01,9:00 AM - 10:30 AM,2019-12-04,09:00 AM - 12:00 PM
96,021120,ECON F212,FUNDA OF FIN AND ACCOUNT,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
97,021121,ECON F213,MATHEMATIC & STAT METHOD,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,02:00 PM - 05:00 PM
98,021145,ECON F214,ECONOMIC ENV OF BUSINES,2019-09-30,9:00 AM - 10:30 AM,2019-12-07,09:00 AM - 12:00 PM
99,021446,ECON F311,INTERNATIONAL ECONOMICS,2019-10-03,11:00 AM - 12:30 PM,2019-12-05,09:00 AM - 12:00 PM
100,021447,ECON F312,MONEY BANK & FIN MARKETS,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
101,021448,ECON F313,ISSUES IN ECONOMIC DEV,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,09:00 AM - 12:00 PM
102,021923,ECON F315,FINANCIAL MANAGEMENT,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
103,022184,ECON F345,BEHAVIORAL ECONOMICS,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
104,021565,ECON F354,DERIVATIVE & RISK MGMT,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
105,021547,ECON F355,BUSINESS ANALYSIS AND VALUATION,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
106,021566,ECON F412,SECUR ANAL & PORTFOL MGT,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
107,021553,ECON F415,NEW VENTRURE CREATION,,,,
108,021077,EEE F211,ELECTRICAL MACHINES,2019-10-04,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
109,021078,EEE F212,ELECTROMAGNETIC THEO,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
110,021080,EEE F214,ELECTRONIC DEVICES,2019-10-01,9:00 AM - 10:30 AM,2019-12-04,09:00 AM - 12:00 PM
111,021079,EEE F215,DIGITAL DESIGN,2019-09-30,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
112,021242,EEE F311,COMMUNICATION SYSTEMS,2019-09-28,9:00 AM - 10:30 AM,2019-12-07,02:00 PM - 05:00 PM
113,021243,EEE F313,ANALOG & DIGIT VLSI DESGN,2019-10-04,2:00 PM - 3:30 PM,2019-12-13,09:00 AM - 12:00 PM
114,021254,EEE F422,MODERN CONTROL SYSTEMS,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
115,021250,EEE F431,MOBILE TELECOM NETWORKS,2019-10-03,2:00 PM - 3:30 PM,2019-12-09,02:00 PM - 05:00 PM
116,021247,EEE F432,MEDICAL INSTRUMENTATION,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
117,021256,EEE F434,DIGITAL SIGNAL PROCESS,2019-10-05,2:00 PM - 3:30 PM,2019-12-14,09:00 AM - 12:00 PM
118,021257,EEE F435,DIGITAL IMAGE PROCESSING,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
119,021249,EEE F472,SATELLITE COMMUNICAITON,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
120,021854,EEE F473,WIND ELECTRICAL SYSTEM,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
121,021261,EEE F418,MODERN COMMUNICATION TECHNOLOGIES,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
122,020462,EEE G510,RF MICROELECTRONICS,2019-09-30,9:00 AM - 10:30 AM,2019-12-12,09:00 AM - 12:00 PM
123,020324,EEE G512,EMBEDDED SYSTEM DESIGN,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
124,020921,EEE G626,HARDWARE SOFTWARE CO-DSGN,2019-09-30,9:00 AM - 10:30 AM,2019-12-04,02:00 PM - 05:00 PM
125,021539,FIN F311,DERIVATIVE & RISK MGMT,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
126,021545,FIN F313,SECUR ANAL & PORTFOL MGT,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
127,021542,FIN F315,FINANCIAL MANAGEMENT,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
128,021130,GS F211,MOD POLITICAL CONCEPTS,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
129,021131,GS F212,"ENVIRONMENT, DEVELOPMENT & CLIMATE CHANGE",2019-10-03,2:00 PM - 3:30 PM,2019-12-09,02:00 PM - 05:00 PM
130,021169,GS F231,DYNAMICS OF SOCIAL CHANGE,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
131,021171,GS F233,PUBLIC POLICY,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
132,021172,GS F234,DEVELOPMENT ECONOMICS,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
133,021165,GS F245,EFFECTIVE PUBLIC SPEAK,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
134,021173,GS F311,INTRODUCTION TO CONFLICT MANAGEMENT,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,02:00 PM - 05:00 PM
135,021174,GS F312,APPLIED PHILOSOPHY,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
136,021137,GS F322,CRITI ANAL OF LIT & CINE,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
137,021524,GS F326,CREATIVE THINKING,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
138,021176,GS F332,CONTEMPORARY INDIA,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
139,021602,HSS F221,READINGS FROM DRAMA,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
140,021152,HSS F227,CROSS CULTURAL SKILLS,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
141,021621,HSS F233,MAIN TRENDS IN IND HIST,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
142,021622,HSS F234,MAIN CURRENTS OF MOD HIS,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
143,021627,HSS F235,INTRODUCTORY PHILOSOPHY,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
144,021628,HSS F236,SYMBOLIC LOGIC,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
145,021903,HSS F237,CONTEMPORARY INDIAN ENGLISH FICTION,2019-10-04,2:00 PM - 3:30 PM,2019-12-13,09:00 AM - 12:00 PM
146,021588,HSS F314,MARITIME STUDIES AND BLUE ECONOMY,2019-10-03,2:00 PM - 3:30 PM,2019-12-09,02:00 PM - 05:00 PM
147,021645,HSS F317,INTRODUCTION TO GLOBALIZATION,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
148,021605,HSS F336,MODERN FICTION,2019-10-03,2:00 PM - 3:30 PM,2019-12-09,02:00 PM - 05:00 PM
149,021623,HSS F343,PROFESSIONAL ETHICS,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
150,021830,HSS F347,INTRO TO CARNATIC MUSIC,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
151,021828,HSS F349,ECOCRITICISM,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,02:00 PM - 05:00 PM
152,022270,HSS F363,DISASTER AND DEVELOPMENT,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
153,022290,HSS F369,CASTE AND GENDER IN INDIA,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
154,022295,HSS G511,PHILOSOPHICAL FOUNDATIONS OF LIBERAL STUDIES,2019-09-30,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
155,022296,HSS G512,THEORETICAL APPROACHES TO LIBERAL STUDIES,2019-10-01,9:00 AM - 10:30 AM,2019-12-04,02:00 PM - 05:00 PM
156,021096,INSTR F211,ELECTRICAL MACHINES,2019-10-04,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
157,021097,INSTR F212,ELECTROMAGNETIC THEO,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
158,021099,INSTR F214,ELECTRONIC DEVICES,2019-10-01,9:00 AM - 10:30 AM,2019-12-04,09:00 AM - 12:00 PM
159,021098,INSTR F215,DIGITAL DESIGN,2019-09-30,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
160,021345,INSTR F311,ELECTRO INST & INST TECH,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
161,021346,INSTR F312,TRANSD & MEASUREMENT SYST,2019-10-01,9:00 AM - 10:30 AM,2019-12-04,02:00 PM - 05:00 PM
162,021347,INSTR F313,ANALOG & DIGIT VLSI DESGN,2019-10-04,2:00 PM - 3:30 PM,2019-12-13,09:00 AM - 12:00 PM
163,021351,INSTR F432,MEDICAL INSTRUMENTATION,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
164,021856,INSTR F473,WIND ELECTRICAL SYSTEM,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
165,021331,IS F462,NETWORK PROGRAMMING,2019-10-04,2:00 PM - 3:30 PM,2019-12-13,09:00 AM - 12:00 PM
166,021010,MATH F111,MATHEMATICS I,2019-10-03,11:00 AM - 12:30 PM,2019-12-05,09:00 AM - 12:00 PM
167,021012,MATH F113,PROBABILITY & STATISTICS,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
168,021022,MATH F211,MATHEMATICS III,2019-10-03,9:00 AM - 10:30 AM,2019-12-05,02:00 PM - 05:00 PM
169,021122,MATH F212,OPTIMIZATION,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
